GEO_ID,NAME,Gini,B19083_001M,B19083_001MA,B19083_001EA
0500000US42001,"Adams County, Pennsylvania",0.3936,0.0074,null,null
0500000US42003,"Allegheny County, Pennsylvania",0.48,0.0041,null,null
0500000US42005,"Armstrong County, Pennsylvania",0.4131,0.0105,null,null
0500000US42007,"Beaver County, Pennsylvania",0.4288,0.0101,null,null
0500000US42009,"Bedford County, Pennsylvania",0.4157,0.0125,null,null
0500000US42011,"Berks County, Pennsylvania",0.4374,0.0069,null,null
0500000US42013,"Blair County, Pennsylvania",0.4513,0.0145,null,null
0500000US42015,"Bradford County, Pennsylvania",0.4226,0.0108,null,null
0500000US42017,"Bucks County, Pennsylvania",0.4448,0.0055,null,null
0500000US42019,"Butler County, Pennsylvania",0.448,0.0147,null,null
0500000US42021,"Cambria County, Pennsylvania",0.4365,0.0107,null,null
0500000US42023,"Cameron County, Pennsylvania",0.4126,0.0233,null,null
0500000US42025,"Carbon County, Pennsylvania",0.4274,0.018,null,null
0500000US42027,"Centre County, Pennsylvania",0.4714,0.0098,null,null
0500000US42029,"Chester County, Pennsylvania",0.4588,0.0069,null,null
0500000US42031,"Clarion County, Pennsylvania",0.4352,0.0142,null,null
0500000US42033,"Clearfield County, Pennsylvania",0.4253,0.02,null,null
0500000US42035,"Clinton County, Pennsylvania",0.4349,0.0234,null,null
0500000US42037,"Columbia County, Pennsylvania",0.4469,0.0117,null,null
0500000US42039,"Crawford County, Pennsylvania",0.4242,0.0118,null,null
0500000US42041,"Cumberland County, Pennsylvania",0.4235,0.0079,null,null
0500000US42043,"Dauphin County, Pennsylvania",0.451,0.0092,null,null
0500000US42045,"Delaware County, Pennsylvania",0.4809,0.006,null,null
0500000US42047,"Elk County, Pennsylvania",0.4112,0.0214,null,null
0500000US42049,"Erie County, Pennsylvania",0.4553,0.0081,null,null
0500000US42051,"Fayette County, Pennsylvania",0.4582,0.0136,null,null
0500000US42053,"Forest County, Pennsylvania",0.3909,0.0194,null,null
0500000US42055,"Franklin County, Pennsylvania",0.4102,0.0188,null,null
0500000US42057,"Fulton County, Pennsylvania",0.4062,0.0156,null,null
0500000US42059,"Greene County, Pennsylvania",0.4365,0.015,null,null
0500000US42061,"Huntingdon County, Pennsylvania",0.41,0.0123,null,null
0500000US42063,"Indiana County, Pennsylvania",0.4476,0.014,null,null
0500000US42065,"Jefferson County, Pennsylvania",0.4327,0.0147,null,null
0500000US42067,"Juniata County, Pennsylvania",0.4094,0.0246,null,null
0500000US42069,"Lackawanna County, Pennsylvania",0.4564,0.0104,null,null
0500000US42071,"Lancaster County, Pennsylvania",0.4259,0.0062,null,null
0500000US42073,"Lawrence County, Pennsylvania",0.4477,0.013,null,null
0500000US42075,"Lebanon County, Pennsylvania",0.4109,0.0115,null,null
0500000US42077,"Lehigh County, Pennsylvania",0.4578,0.0078,null,null
0500000US42079,"Luzerne County, Pennsylvania",0.451,0.007,null,null
0500000US42081,"Lycoming County, Pennsylvania",0.4232,0.0107,null,null
0500000US42083,"McKean County, Pennsylvania",0.4391,0.015,null,null
0500000US42085,"Mercer County, Pennsylvania",0.4348,0.0112,null,null
0500000US42087,"Mifflin County, Pennsylvania",0.4021,0.0188,null,null
0500000US42089,"Monroe County, Pennsylvania",0.4255,0.0143,null,null
0500000US42091,"Montgomery County, Pennsylvania",0.4658,0.0053,null,null
0500000US42093,"Montour County, Pennsylvania",0.4939,0.0228,null,null
0500000US42095,"Northampton County, Pennsylvania",0.443,0.0124,null,null
0500000US42097,"Northumberland County, Pennsylvania",0.4314,0.0099,null,null
0500000US42099,"Perry County, Pennsylvania",0.4018,0.0129,null,null
0500000US42101,"Philadelphia County, Pennsylvania",0.517,0.005,null,null
0500000US42103,"Pike County, Pennsylvania",0.4323,0.0245,null,null
0500000US42105,"Potter County, Pennsylvania",0.4268,0.0155,null,null
0500000US42107,"Schuylkill County, Pennsylvania",0.4239,0.0093,null,null
0500000US42109,"Snyder County, Pennsylvania",0.4118,0.0149,null,null
0500000US42111,"Somerset County, Pennsylvania",0.4221,0.0136,null,null
0500000US42113,"Sullivan County, Pennsylvania",0.4339,0.0263,null,null
0500000US42115,"Susquehanna County, Pennsylvania",0.4592,0.012,null,null
0500000US42117,"Tioga County, Pennsylvania",0.4167,0.0109,null,null
0500000US42119,"Union County, Pennsylvania",0.4834,0.0321,null,null
0500000US42121,"Venango County, Pennsylvania",0.4239,0.0157,null,null
0500000US42123,"Warren County, Pennsylvania",0.427,0.0171,null,null
0500000US42125,"Washington County, Pennsylvania",0.4488,0.0085,null,null
0500000US42127,"Wayne County, Pennsylvania",0.4212,0.0197,null,null
0500000US42129,"Westmoreland County, Pennsylvania",0.4445,0.0086,null,null
0500000US42131,"Wyoming County, Pennsylvania",0.438,0.0417,null,null
0500000US42133,"York County, Pennsylvania",0.4113,0.0065,null,null
